"agemate_no_report","ethnic_group","sex","marital_status","territorial_section","attend_school","school_yrs","town","town_yrs"
0,0,0,1,0,0,0,0,0
0,0,1,1,0,1,8,1,12
0,0,0,4,0,0,0,0,0
0,0,1,1,0,0,0,1,20
0,0,0,1,0,1,6,1,20
0,0,0,1,0,1,3,0,0
0,0,0,0,0,0,0,1,20
1,0,0,1,0,1,3,0,0
0,0,1,1,0,0,0,1,22
0,0,0,1,0,0,0,1,20
0,0,1,1,0,1,5,1,26
0,0,1,1,0,1,12,0,0
0,0,0,1,0,0,0,1,6
0,0,1,1,0,1,13,1,3
0,0,1,1,0,0,0,1,20
0,0,1,1,0,1,14,1,7
0,0,1,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0
0,0,0,1,0,1,9,1,1
0,0,0,0,0,0,0,1,10
0,0,1,1,0,0,0,0,0
0,0,1,1,0,1,7,0,0
0,0,0,0,0,1,8,1,9
0,0,1,1,0,1,12,1,12
0,0,1,1,0,0,0,1,2
0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0
1,1,0,1,0,0,0,0,0
0,1,0,1,0,1,3,1,1
