ETHNIC_GROUP,SUBJECT_ID,RA_INTERVIEWING,SITE,SEX,AGESET,TERRITORIAL_SECTION,MARITAL_STATUS,AGEMATE_NO_REPORT,RAIDING_BLESSINGS,JOKE,SCOLD,HOST,EXCOMMUNICATED,CIRCUMCISED,KILL_WOMEN,SKIN_TUCK,RAID_INNOCENT,MOTHER_CARE,WELL,UNMARRIED_RAID,RECONCILIATION,EXTENDED,MURDER_KILL,KIDNAP,SHAVE,HUSBAND_RAPE,STRANGER_AGEMATE,VIOLATE_PEACE,ADOPTION,UMBILICAL,LOVING_FATHER,COWARD,FIRE,POOR_WOMAN,SUICIDE,MANYATTA_INITIATION,INTESTINES,INFO_GRAZE,COWARD_SHAME,RAID_PRESSURE,NEIGHBOR_CHILD,SONG,SELFISH,DONKEY,RESCUE,VISITOR_SLAUGHTER,FIND_MARK,BEAT_AGEMATES,SHEEP,REFUSE_POOR,HUNGER_STEAL,LADY_FOOD,WOUNDED,MANYATTA_JUNIORS,FATHERS_AREA,SICK,ATTEND_SCHOOL,SCHOOL_LOCATION,SCHOOL_YRS,TOWN,TOWN_LOCATION,TOWN_YRS
Borana,CARLA_HUSSEIN-2015-10-13-14-41,Carla,KINNA,MALE,Wakor Liban,999,MARRIED,AGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,999,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,NO,999,0,YES,OUTSIDE_BORANA,15
Borana,CARLA_HUSSEIN-2015-10-14-10-36,Carla,KINNA,MALE,Mada Boru,999,MARRIED,AGREE,AGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,NO,999,0,YES,WITHIN_BORANA,30
Borana,CARLA_HUSSEIN-2015-10-14-12-21,Carla,KINNA,MALE,Goba Bulle,999,DIVORCED,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,DISAGREE,YES,WITHIN_BORANA,7,YES,WITHIN_BORANA,30
Borana,CARLA_HUSSEIN-2015-10-17-11-20,Carla,KINNA,MALE,Dambal Arero,999,MARRIED,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,NO,999,0,YES,WITHIN_BORANA,30
Borana,CARLA_HUSSEIN-2015-10-17-12-58,Carla,KINNA,MALE,Wakor Guyo,999,MARRIED,AGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,NO,999,0,YES,WITHIN_BORANA,20
Borana,CARLA_MOHA-2015-10-01-10-23,Carla,KINNA,FEMALE,999,999,MARRIED,AGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,YES,WITHIN_BORANA,5,NO,999,0
Borana,CARLA_MOHA-2015-10-03-12-55,Carla,KINNA,MALE,999,999,MARRIED,AGREE,AGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,NO,999,0,NO,999,0
Borana,CARLA_MOHA-2015-10-04-14-12,Carla,KINNA,FEMALE,999,999,MARRIED,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,NO,999,0,NO,999,0
Borana,CARLA_MOHA-2015-10-05-14-50,Carla,KINNA,FEMALE,999,999,WIDOWED,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,NO,999,0,NO,999,0
Borana,CARLA_MOHA-2015-10-07-13-36,Carla,KINNA,FEMALE,999,999,MARRIED,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,YES,WITHIN_BORANA,4,NO,999,0
